Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W177    2100.38         2117.27         0.125036        0.992025        19.9273         2.25756         
W178    2100.91         2098.47         0.124402        1.00116         40.8077         0.514266        
W179    2101.38         2102.2          0.12922         0.999607        36.1303         1.05641         
W180    2101.8          2101.18         0.124608        1.00029         34.5697         0.321099        
W181    2102.16         2104.05         0.124493        0.999103        47.2539         3.03002         
W182    2102.48         2099.37         0.127347        1.00148         57.9897         1.99875         
W183    2102.74         2101.42         0.13307         1.00063         53.5327         0.892307        
W184    2102.95         2108.1          0.131233        0.997556        43.1347         0.848469        
W185    2103.11         2125.51         0.130209        0.989459        23.1877         1.82878         
W186    2103.21         2107.42         0.113891        0.998001        39.02           0.616006        
W187    2103.26         2110.77         0.139511        0.996446        41.9791         3.52974         
W188    2103.26         2102.48         0.135704        1.00037         47.9238         0.382916        
W189    2103.21         2103.62         0.135848        0.999805        48.917          2.72272         
W190    2103.11         2102.66         0.119091        1.00021         52.0817         2.8657          
W191    2102.95         2102.09         0.124499        1.00041         42.9598         0.659875        
W192    2102.74         2102.76         0.127836        0.999989        44.6351         0.154559        
W193    2102.48         2100.77         0.12189         1.00081         44.0439         0.538587        
W194    2102.16         2099.31         0.122208        1.00136         44.7198         0.858996        
W195    2101.8          2102.96         0.12743         0.999448        36.6512         0.566249        
W196    2101.38         2100.29         0.131726        1.00052         44.053          0.357691        
W197    2100.91         2107.55         0.12113         0.996849        32.588          3.5413          
W198    2100.38         2104.95         0.127923        0.997832        51.2909         1.90108         
W199    2099.81         2098.76         0.122814        1.0005          38.6769         0.216623        
W200    2099.18         2103.84         0.12361         0.997787        28.0694         3.51273         
W201    2098.5          2101.2          0.133194        0.998716        43.9061         2.27483         
W202    2097.78         2098.22         0.123656        0.999789        32.9691         2.96565         
W203            2096.99         2076.34         1.00994         36.0052         1               
W204            2096.16         2028.26         1.03348         101.624         1               
W205            2096.73         2085            1.00563         53.1725         0.230667        
W206    2097.57         2111.69         0.127432        0.993313        37.9846         0.20653         
W207    2098.35         2095.59         0.123315        1.00131         46.532          3.45343         
W208    2099.08         2098.24         0.123385        1.0004          50.5164         1.40158         
W209    2099.75         2096.01         0.113998        1.00179         42.392          4.58661         
W210    2100.38         2104.14         0.136267        0.998215        30.2305         1.9828          
W211    2100.96         2103.36         0.124134        0.998859        54.9886         0.963219        
W212    2101.48         2104.43         0.127473        0.998599        36.6419         4.35036         
W213    2101.95         2109.84         0.11623         0.996261        55.0142         0.899433        
W214    2102.37         2093.91         0.121322        1.00404         31.4493         1.19514         
W215    2102.74         2105.7          0.13648         0.998593        30.7395         0.175188        
W216    2103.05         2102.06         0.12001         1.00047         40.9431         0.667092        
W217    2103.31         2103.97         0.116902        0.99969         48.9989         1.36734         
W218    2103.52         2108.36         0.115168        0.997706        38.7249         1.35087         
W219    2103.68         2105.08         0.122653        0.999336        40.4421         2.18972         
W220    2103.79         2108.94         0.115145        0.997558        45.0627         1.51107         
W221    2103.84         2103.45         0.124479        1.00018         35.8777         0.25575         
W222    2103.84         2104.18         0.129335        0.99984         48.2535         1.27853         
W223    2103.79         2103.78         0.130593        1               53.3839         1.73123         
W224    2103.68         2104.15         0.125427        0.999779        53.8979         0.925692        
W225    2103.52         2102.94         0.11787         1.00028         55.2044         0.603219        
W226    2103.31         2104.44         0.13108         0.999463        45.2214         1.76362         
W227    2103.05         2103.39         0.134852        0.999841        42.1892         1.18476         
W228    2102.74         2097.22         0.124606        1.00263         50.2872         3.7261          
W229    2102.37         2102.31         0.122582        1.00003         38.0567         4.22828         
W230    2101.95         2094.94         0.1366          1.00334         44.2746         0.13098         
W231    2101.48         2106.99         0.125327        0.997386        44.8767         1.50251         
W232    2100.96         2091.83         0.12859         1.00436         44.5836         3.1677          
W233    2100.38         2102.56         0.131962        0.998964        60.7321         2.44037         
W234    2099.75         2102.65         0.116905        0.998623        44.5063         0.97648         
W235    2099.08         2085.73         0.115396        1.0064          43.0943         7.10041         
W236    2098.35         1980.33         0.104556        1.0596          199.999         2.89901         
W237    2097.57         2090.01         0.115119        1.00362         43.4943         0.620192        
W238            2096.73         2172.67         0.965049        88.9544         1               
W239    2097.25         2014.49         0.10539         1.04109         36.4576         1.65599         
W240    2098.09         2085.33         0.105919        1.00612         31.2316         3.19952         
W241    2098.87         2097.57         0.126168        1.00062         32.4222         0.170905        
W242    2099.6          2098.72         0.125068        1.00042         40.7449         1.29312         
W243    2100.28         2101.35         0.126115        0.999487        37.3912         0.304751        
W244    2100.9          2101.14         0.116942        0.999889        35.2523         0.598605        
W245    2101.48         2102.43         0.115876        0.999547        64.0886         0.922051        
W246    2102            2100.94         0.124929        1.00051         36.634          0.57022         
W247    2102.47         2111.35         0.116201        0.995797        40.3024         0.131738        
W248    2102.89         2102.58         0.130967        1.00015         46.3537         1.30142         
W249    2103.26         2098.45         0.130325        1.00229         51.2034         2.04361         
W250    2103.58         2102.97         0.124683        1.00029         36.7668         0.80205         
W251    2103.84         2104.25         0.128503        0.999803        52.4738         0.357584        
W252    2104.05         2103.17         0.122112        1.00042         51.404          0.917022        
W253    2104.21         2104.58         0.130194        0.999823        50.564          1.20445         
W254    2104.31         2106.33         0.131888        0.999044        51.0855         2.9475          
W255    2104.36         2103.66         0.132462        1.00034         51.9548         1.09276         
W256    2104.36         2104.56         0.124746        0.999907        44.5076         0.175539        
W257    2104.31         2105.16         0.131944        0.999596        48.5781         2.1372          
W258    2104.21         2103.75         0.137152        1.00022         50.2792         3.4794          
W259    2104.05         2103.93         0.139924        1.00006         48.3833         0.218587        
W260    2103.84         2104.45         0.126124        0.999711        48.9896         0.985917        
W261    2103.58         2103.67         0.129192        0.999957        47.1214         0.270042        
