Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1056   3454.71         3592.99         0.116302        0.961512        42.7976         1.49884         
W1057           3456.79         3460.9          0.998813        84.5607         0.766848        
W1058   3458.74         3459.18         0.106154        0.999872        55.9441         1.1748          
W1059   3460.55         3453.39         0.0996426       1.00207         40.0563         1.26864         
W1060   3462.23         3460.1          0.0985626       1.00061         73.562          0.915638        
W1061   3463.76         3484.9          0.109962        0.993934        82.2345         1.37945         
W1062   3465.16         3428.69         0.10683         1.01064         87.59           1.7224          
W1063   3466.42         3477.94         0.105845        0.996687        56.5859         1.0037          
W1064   3467.54         3467.31         0.101315        1.00007         75.6062         0.921617        
W1065   3468.52         3467.05         0.10247         1.00043         56.1808         1.36876         
W1066   3469.37         3470.04         0.102641        0.999807        65.756          0.86173         
W1067   3470.07         3483.22         0.101366        0.996225        94.8252         1.3779          
W1068   3470.63         3469.16         0.107421        1.00043         50.992          0.970584        
W1069   3471.05         3468.72         0.0908336       1.00067         61.8981         0.513447        
W1070   3471.33         3487.55         0.0936569       0.995351        48.6356         1.31751         
W1071   3471.48         3470.65         0.107482        1.00024         54.2734         0.458613        
W1072   3471.48         3471.4          0.103099        1.00002         56.3232         1.51654         
W1073   3471.33         3467.96         0.108201        1.00097         64.8357         1.58478         
W1074   3471.05         3469.72         0.0934011       1.00038         65.1211         0.472155        
W1075   3470.63         3470.53         0.106401        1.00003         63.4348         0.818927        
W1076   3470.07         3469.46         0.0999407       1.00018         55.7725         2.05596         
W1077   3469.37         3471.09         0.113534        0.999503        74.0332         0.868346        
W1078   3468.52         3467.26         0.0965746       1.00037         96.8552         1.57836         
W1079   3467.54         3479.97         0.103612        0.996428        44.6987         1.82264         
W1080   3466.42         3483.51         0.10155         0.995094        62.4092         1.43722         
W1081   3465.16         3418.67         0.108462        1.0136          41.1546         0.81061         
W1082   3463.76         3479.81         0.104037        0.995388        52.864          1.03921         
W1083   3462.23         3457.82         0.104466        1.00128         61.239          0.987879        
W1084           3460.55         3460.73         0.999947        55.5824         1.58941         
W1085   3458.74         3451.83         0.104104        1.002           73.846          0.751657        
W1086           3456.79         3455.68         1.00032         77.6482         1.08265         
W1087   3454.71         3557.27         0.112908        0.971167        33.9684         1.47644         
W1088   3452.49         3892.35         0.132719        0.886993        46.9098         1.36268         
W1089   3450.42         3943.85         0.132792        0.874885        109.785         1.12823         
W1090   3452.63         3180.22         0.11571         1.08566         5.9846          0.564955        
W1091   3454.71         3470.82         0.11087         0.99536         104.036         2.02848         
W1092   3456.66         3479.23         0.133501        0.993512        50.3214         1.65142         
W1093   3458.46         3291.33         0.128482        1.05078         68.9761         2.1069          
W1094   3460.14         3420.2          0.135061        1.01168         124.167         1.08845         
W1095   3461.67         3482.62         0.138147        0.993986        46.6667         1.12285         
W1096   3463.07         3491.25         0.142154        0.991927        61.0142         2.37638         
W1097   3464.33         3470.25         0.105882        0.998294        64.0442         0.907937        
W1098   3465.45         3465.79         0.0985034       0.999901        79.3461         0.893568        
W1099   3466.43         3485.94         0.106601        0.994401        98.2677         0.779581        
W1100   3467.27         3483.99         0.110105        0.995201        70.1216         2.3364          
W1101   3467.97         3405.88         0.110196        1.01823         72.1708         1.03307         
W1102   3468.53         3486.89         0.10117         0.994734        58.2359         1.23086         
W1103   3468.95         3468.57         0.109612        1.00011         74.496          0.646184        
W1104   3469.23         3476.74         0.101897        0.997839        71.4781         1.60567         
W1105   3469.37         3469.45         0.104803        0.999979        78.5385         0.989894        
W1106   3469.37         3472.66         0.116562        0.999053        74.7048         0.766088        
W1107   3469.23         3464.98         0.106628        1.00123         66.9049         0.565995        
W1108   3468.95         3473.31         0.119613        0.998744        50.0851         1.24183         
W1109   3468.53         3479.75         0.10364         0.996775        61.0462         0.839878        
W1110   3467.97         3471.99         0.11188         0.99884         70.4415         1.00184         
W1111   3467.27         3475.31         0.0995633       0.997685        82.0321         0.401711        
W1112   3466.43         3470.62         0.10191         0.998791        61.5946         1.18212         
W1113   3465.45         3452.29         0.102748        1.00381         46.5906         0.727008        
W1114   3464.33         3482.5          0.109702        0.99478         60.935          0.604019        
W1115   3463.07         3533.43         0.10214         0.980087        65.6867         1.0939          
W1116   3461.67         3470.63         0.0982857       0.997419        47.0379         0.805943        
W1117   3460.14         3485.47         0.102474        0.99273         101.905         1.31492         
W1118   3458.46         3447.06         0.0926652       1.00331         87.2058         1.06894         
W1119   3456.66         3427.07         0.129028        1.00863         94.9806         0.915889        
W1120   3454.71         3440.08         0.0932935       1.00425         52.2045         1.12139         
W1121   3452.63         3861.73         0.0921765       0.894063        193.685         1.48478         
W1122   3450.42         3984.41         0.139342        0.865979        161.97          1.5007          
W1123   3448.21         4161.13         0.160546        0.828671        5.72162         5.33206e-06     
W1125   3452.5          3758.72         0.15804         0.918531        28.2362         1.04916         
W1126   3454.44         4021.52         0.18622         0.858989        5.71624         0.99485         
W1127   3456.24         4259.25         0.189101        0.811468        6.1907          0.84548         
W1128   3457.91         3816.59         0.161879        0.90602         65.1589         1.41239         
W1129   3459.44         3765.13         0.168264        0.918812        53.5553         1.61913         
W1130   3460.84         3812.1          0.162403        0.907857        72.9494         1.77889         
W1131   3462.09         3902.45         0.148749        0.88716         42.7314         1.25087         
W1132   3463.21         4125.01         0.145851        0.839563        98.1607         0.814897        
W1133   3464.19         4014.03         0.144134        0.86302         112.226         0.833617        
W1134   3465.03         4195.33         0.125594        0.825926        23.6247         0.811254        
W1135   3465.73         3969.1          0.126924        0.873176        72.4166         0.668095        
W1136   3466.29         3786.97         0.13105         0.91532         110.228         1.35364         
W1137   3466.71         4044.14         0.12531         0.857218        83.6342         0.7781          
W1138   3466.99         3763.41         0.153106        0.921235        30.1955         1.30973         
W1139   3467.13         3994.95         0.142989        0.867877        60.4324         1.46755         
W1140   3467.13         3962.26         0.143521        0.875038        90.7698         1.46859         
W1141   3466.99         4014.23         0.12494         0.863676        66.7003         1.16965         
W1142   3466.71         5327.94         0.141667        0.650666        199.626         1.00054         
W1143   3466.29         3940.52         0.133659        0.879653        87.7275         1.63509         
W1144   3465.73         4016.89         0.121406        0.86279         50.6257         0.896532        
W1145   3465.03         3843.78         0.121763        0.901464        81.9993         1.66594         
W1146   3464.19         4039.71         0.123428        0.857534        87.0999         1.06908         
W1147   3463.21         3906.19         0.125206        0.886596        63.5678         1.79239         
W1148   3462.09         4232.68         0.1343          0.817944        16.1405         1.1719          
W1149   3460.84         4108.28         0.159864        0.842405        39.8893         1.4589          
W1150   3459.44         4080.88         0.171095        0.84772         39.357          0.776867        
W1151   3457.91         4056.33         0.143093        0.852474        18.6341         1.7592          
W1152   3456.24         4182.92         0.167594        0.826275        39.3369         1.63871         
W1153   3454.44         3519.41         0.156767        0.981539        53.5263         1.57078         
W1154   3452.5          3651.35         0.148218        0.945541        61.6759         1.31948         
W1155   3450.42         3992.13         0.142527        0.864305        3.49175         0.908685        
W1156   3448.21         2510.5          0.136507        1.37351         49.6815         0.520677        
